actor_name,actor_id
Joel David Moore,1
CCH Pounder,2
Wes Studi,3
Orlando Bloom,4
Johnny Depp,5
Jack Davenport,6
Rory Kinnear,7
Christoph Waltz,8
Stephanie Sigman,9
Christian Bale,10
Tom Hardy,11
Joseph Gordon-Levitt,12
Rob Walker,13
Doug Walker,14
Samantha Morton,15
Daryl Sabara,16
Polly Walker,17
Donna Murphy,18
Brad Garrett,19
M.C. Gainey,20
Robert Downey Jr.,21
Chris Hemsworth,22
Scarlett Johansson,23
Daniel Radcliffe,24
Alan Rickman,25
Rupert Grint,26
Lauren Cohan,27
Henry Cavill,28
Alan D. Purwin,29
Marlon Brando,30
Kevin Spacey,31
Frank Langella,32
Mathieu Amalric,33
Giancarlo Giannini,34
Ruth Wilson,35
Tom Wilkinson,36
Christopher Meloni,37
Harry Lennix,38
Pierfrancesco Favino,39
Peter Dinklage,40
Damián Alcázar,41
Sam Claflin,42
Stephen Graham,43
Michael Stuhlbarg,44
Will Smith,45
Nicole Scherzinger,46
Adam Brown,47
Aidan Turner,48
James Nesbitt,49
Andrew Garfield,50
Emma Stone,51
Chris Zylka,52
William Hurt,53
Mark Addy,54
Scott Grimes,55
Eva Green,56
Christopher Lee,57
Kristin Scott Thomas,58
Kate Winslet,59
Leonardo DiCaprio,60
Gloria Stuart,61
Chris Evans,62
Alexander Skarsgård,63
Liam Neeson,64
Tadanobu Asano,65
Judy Greer,66
Bryce Dallas Howard,67
Omar Sy,68
James Franco,69
J.K. Simmons,70
Kirsten Dunst,71
Jon Favreau,72
Don Cheadle,73
Kelsey Grammer,74
Hugh Jackman,75
Daniel Cudmore,76
Tyler Labine,77
Steve Buscemi,78
Sean Hayes,79
Kevin Dunn,80
Glenn Morshower,81
Ramon Rodriguez,82
Sophia Myles,83
Bingbing Li,84
B.J. Novak,85
Thomas Kretschmann,86
Joe Mantegna,87
Eddie Izzard,88
Temuera Morrison,89
Ryan Reynolds,90
Taika Waititi,91
John Ratzenberger,92
Tom Hanks,93
Don Rickles,94
Common,95
Paul Walker,96
Jason Statham,97
Vin Diesel,98
Brad Pitt,99
Peter Capaldi,100
Mireille Enos,101
Jennifer Lawrence,102
