director_id,director_name
1,James Cameron
2,Gore Verbinski
3,Sam Mendes
4,Christopher Nolan
5,Doug Walker
6,Andrew Stanton
7,Nathan Greno
8,Joss Whedon
9,David Yates
10,Zack Snyder
11,Bryan Singer
12,Marc Forster
13,Andrew Adamson
14,Rob Marshall
15,Barry Sonnenfeld
16,Peter Jackson
17,Marc Webb
18,Ridley Scott
19,Chris Weitz
20,Anthony Russo
21,Peter Berg
22,Colin Trevorrow
23,Sam Raimi
24,Shane Black
25,Brett Ratner
26,Dan Scanlon
27,Michael Bay
28,John Lasseter
29,Martin Campbell
30,Lee Unkrich
31,McG
32,James Wan
33,J.J. Abrams
34,Mike Newell
35,Guillermo del Toro
36,Steven Spielberg
37,Peter Sohn
38,Mark Andrews
39,Justin Lin
40,Roland Emmerich
41,Robert Zemeckis
42,Lana Wachowski
43,Pete Docter
44,Rob Letterman
45,Jon Favreau
46,Martin Scorsese
47,Rob Cohen
48,David Ayer
49,Tom Shadyac
50,Doug Liman
51,Kevin Reynolds
52,Stephen Sommers
53,Rupert Sanders
54,Robert Stromberg
55,Matt Reeves
56,Carl Rinsch
57,Mike Mitchell
58,Brad Bird
59,Don Hall
60,Rich Moore
61,Dean DeBlois
62,Jonathan Mostow
63,James Gunn
64,David Fincher
65,Matthew Vaughn
66,Francis Lawrence
67,Jon Turteltaub
68,Wolfgang Petersen
69,James Bobin
70,Chris Miller
71,Duncan Jones
72,Alan Taylor
73,Michael Apted
74,Oliver Stone
75,Tim Burton
76,Eric Darnell
77,Shawn Levy
78,Gavin Hood
79,Chris Buck
80,George Miller
81,Ron Howard
82,Kenneth Branagh
83,Byron Howard
84,Hoyt Yeatman
85,Jonathan Liebesman
86,Christopher McQuarrie
87,Joe Johnston
88,Steve Hickner
89,Jennifer Yuh Nelson
90,M. Night Shyamalan
91,Simon Wells
92,David Bowers
93,Rob Minkoff
94,Lee Tamahori
95,Alessandro Carloni
96,Peter Ramsey
97,Dean Parisot
98,Edward Zwick
99,Alex Proyas
100,Richard Donner
101,Ang Lee
102,Jon M. Chu
103,Breck Eisner
104,Hironobu Sakaguchi
105,Peter Weir
106,Louis Leterrier
107,Alejandro G. Iñárritu
108,David Soren
109,Paul Greengrass
110,Mark Osborne
111,Peyton Reed
112,Bill Condon
113,Phillip Noyce
114,Darren Aronofsky
115,Alfonso Cuarón
116,Baz Luhrmann
117,Eric Leighton
118,Matt Birch
119,Tom McGrath
120,Chris Columbus
121,Robert Schwentke
122,Hideaki Anno
123,Carlos Saldanha
124,Guy Ritchie
125,John McTiernan
126,Tony Gilroy
127,Joel Schumacher
128,John Woo
129,Tim Story
130,Mark Steven Johnson
131,Neill Blomkamp
132,David Twohy
133,James L. Brooks
134,James Mangold
135,Joseph Kosinski
136,George Lucas
137,Kirk De Micco
138,Frédéric Forestier
139,Cedric Nicolas-Troyan
140,Roger Donaldson
141,Dave Green
142,Brad Peyton
143,Roger Spottiswoode
144,Steven Soderbergh
145,Michel Gondry
146,Noam Murro
147,Raja Gosnell
148,Will Finn
149,Jan de Bont
150,Len Wiseman
151,Michael Mann
152,Bo Welch
153,Ron Clements
154,Christopher Barnard
155,Peter Chelsom
156,Dominic Sena
157,Tony Scott
158,Paul Weitz
159,Adam McKay
160,Chuck Russell
161,Quentin Tarantino
162,Gary Trousdale
163,Mark Dindal
164,Simon West
165,Stefen Fangmeier
166,Spike Jonze
167,Chris Wedge
168,Peter Hyams
169,Paul Verhoeven
170,Tom Tykwer
171,Pitof
172,Brad Silberling
173,Patrick Hughes
174,Lawrence Guterman
175,Ron Underwood
176,Steve Martino
177,David Mamet
178,Yimou Zhang
179,Ash Brannon
180,Frank Oz
181,Jay Roach
182,Luc Besson
183,Michael Patrick King
184,Bibo Bergeron
185,Sergey Bodrov
186,Wally Pfister
187,Rupert Wyatt
188,Mark Waters
189,John Moore
190,Renny Harlin
191,Phil Lord
192,Ben Stiller
193,Tony Bancroft
194,Walt Becker
195,Dennis Dugan
196,Sydney Pollack
197,Thor Freudenthal
198,Brian De Palma
199,Mick Jackson
200,Alan J. Pakula
201,Kathryn Bigelow
202,Josh Trank
203,Andrey Konchalovskiy
204,Gary Ross
205,Paul W.S. Anderson
206,Genndy Tartakovsky
207,Kevin Lima
208,Daniel Espinosa
209,Nancy Meyers
210,Roger Allers
211,Neil Burger
212,Jean-Jacques Annaud
213,Sarah Smith
214,Martin Brest
215,Andrew Davis
216,Bob Fosse
217,Tarsem Singh
218,Edgar Wright
219,Jon Amiel
220,Peter Segal
221,Frank Coraci
222,Sylvester Stallone
223,Todd Phillips
224,Tim Johnson
225,Gary Winick
226,Mimi Leder
227,Seth Gordon
228,Adam Shankman
229,D.J. Caruso
230,Anthony Minghella
231,Albert Hughes
232,Les Mayfield
233,Joe Pytka
234,Ivan Reitman
235,Eric Brevig
236,Kelly Asbury
237,Stephen Hopkins
238,Jonathan Demme
239,Henry Jaglom
240,James Algar
241,Vincent Ward
242,Steven Brill
243,Terry Gilliam
244,Lucile Hadzihalilovic
245,Barry Cook
246,Roger Christian
247,Joe Dante
248,Kevin Costner
249,Antony Hoffman
250,Jacques Perrin
251,Andrés Couturier
252,Cody Cameron
253,John Singleton
254,Oliver Hirschbiegel
255,Des McAnuff
256,Yarrow Cheney
257,Stephen Norrington
258,Pierre Coffin
259,Timur Bekmambetov
260,David Kellogg
261,Mike Nichols
262,F. Gary Gray
